_ano_pasta,_doc_path,_filename,categoria,hospital,oss_gestora,perc_total,periodo.ano,periodo.mes,periodo.tipo_periodo,valor
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Pessoal,HDT,ISG,0,2023,1,mensal,1971819.22
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Serviços,HDT,ISG,0,2023,1,mensal,2820666.26
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Materiais e insumos,HDT,ISG,0,2023,1,mensal,647096.34
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Encargos Sociais,HDT,ISG,0,2023,1,mensal,1415795.91
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,"Tributos, Impostos, Taxas e Contribuições",HDT,ISG,0,2023,1,mensal,333745.93
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Despesa Administrativa (rateio),HDT,ISG,0,2023,1,mensal,136736.82
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Bloqueio Judicial,HDT,ISG,0,2023,1,mensal,8654.72
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\01.2023-Fluxo-de-Caixa-HDT.pdf,01.2023-Fluxo-de-Caixa-HDT,Outras Saídas,HDT,ISG,0,2023,1,mensal,19156.65
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Pessoal,HDT,ISG,0,2023,2,mensal,2114606.2
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Serviços,HDT,ISG,0,2023,2,mensal,3183809.49
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Materiais e insumos,HDT,ISG,0,2023,2,mensal,589178.17
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,"Tributos, Impostos, Taxas e Contribuições",HDT,ISG,0,2023,2,mensal,285656.55
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Encargos Sociais,HDT,ISG,0,2023,2,mensal,1443343.04
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Despesa Administrativa (rateio),HDT,ISG,0,2023,2,mensal,103819.77
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\02.2023-Fluxo-de-Caixa-HDT.pdf,02.2023-Fluxo-de-Caixa-HDT,Outras Saídas,HDT,ISG,0,2023,2,mensal,4857.33
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Pessoal,HDT,ISG,0,2023,3,mensal,1955887.52
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Serviços,HDT,ISG,0,2023,3,mensal,2895807.4
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Materiais e insumos,HDT,ISG,0,2023,3,mensal,682476.01
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Encargos Sociais,HDT,ISG,0,2023,3,mensal,1402381.9
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,"Tributos, Impostos, Taxas e Contribuições",HDT,ISG,0,2023,3,mensal,315100.34
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Bloqueio Judicial,HDT,ISG,0,2023,3,mensal,8088.82
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Despesa Administrativa (rateio),HDT,ISG,0,2023,3,mensal,101073.51
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\03.2023-Fluxo-de-Caixa-HDT-1.pdf,03.2023-Fluxo-de-Caixa-HDT-1,Outras Saídas,HDT,ISG,0,2023,3,mensal,68587.67
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Pessoal,HDT,ISG,0,2023,4,mensal,1882283.42
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Serviços,HDT,ISG,0,2023,4,mensal,2836552.67
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Materiais e insumos,HDT,ISG,0,2023,4,mensal,627809.35
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Encargos Sociais,HDT,ISG,0,2023,4,mensal,1300158.15
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,"Tributos, Impostos, Taxas e Contribuições",HDT,ISG,0,2023,4,mensal,304247.19
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Despesa Administrativa (rateio),HDT,ISG,0,2023,4,mensal,185931.05
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Bloqueio Judicial,HDT,ISG,0,2023,4,mensal,12296.38
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\04.2023-Fluxo-de-Caixa-HDT.pdf,04.2023-Fluxo-de-Caixa-HDT,Outras Saídas,HDT,ISG,0,2023,4,mensal,11239.86
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Pessoal,HDT,ISG,0,2023,5,mensal,2039170.05
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Serviços,HDT,ISG,0,2023,5,mensal,3417086.43
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Materiais e insumos,HDT,ISG,0,2023,5,mensal,615874.83
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Encargos Sociais,HDT,ISG,0,2023,5,mensal,1290760.77
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,"Tributos, Impostos, Taxas e Contribuições",HDT,ISG,0,2023,5,mensal,331842.24
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Despesa Administrativa (rateio),HDT,ISG,0,2023,5,mensal,206475.01
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Bloqueio Judicial,HDT,ISG,0,2023,5,mensal,1452.68
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\05.2023-Fluxo-de-Caixa-HDT-1.pdf,05.2023-Fluxo-de-Caixa-HDT-1,Outras Saídas,HDT,ISG,0,2023,5,mensal,54262.73
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\06.2023-Fluxo-de-Caixa-HDT.pdf-ass.pdf,06.2023-Fluxo-de-Caixa-HDT.pdf-ass,Pessoal,HDT,ISG,0,2023,6,mensal,1977465.79
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\06.2023-Fluxo-de-Caixa-HDT.pdf-ass.pdf,06.2023-Fluxo-de-Caixa-HDT.pdf-ass,Serviços,HDT,ISG,0,2023,6,mensal,3338719.01
2023,C:\OSS-Goias\documentos\ISG\HDT\2023\21_Relatorio_Comparativo_Recursos\06.2023-Fluxo-de-Caixa-HDT.pdf-ass.pdf,06.2023-Fluxo-de-Caixa-HDT.pdf-ass,Materiais e insumos,HDT,ISG,0,2023,6,mensal,644043.91
